Time,GGALT,GGLON,GGLAT,CONCD_RWIO
108480,1530.5089,148.3813,-43.626427,0.0
108481,1530.5057,148.38197,-43.627113,0.0
108482,1530.5044,148.38263,-43.6278,0.0
108483,1530.5107,148.3833,-43.628487,0.0
108484,1530.5227,148.38396,-43.629173,0.0
108485,1530.5366,148.38461,-43.629856,0.0
108486,1530.5613,148.38528,-43.630543,0.0
108487,1530.5997,148.38594,-43.63123,0.0
108488,1530.6531,148.38661,-43.631912,0.0
108489,1530.7122,148.38727,-43.6326,0.0
108490,1530.7661,148.38794,-43.63328,0.0
108491,1530.8092,148.3886,-43.63397,0.0
108492,1530.84,148.38925,-43.63465,0.0
108493,1530.8538,148.38992,-43.635338,0.0
108494,1530.8491,148.39058,-43.63602,0.0
108495,1530.9261,148.39125,-43.636707,0.0
108496,1530.9188,148.3919,-43.63739,0.0
108497,1530.9042,148.39258,-43.638077,0.0
108498,1530.898,148.39323,-43.638763,0.0
108499,1530.9019,148.3939,-43.639446,0.0
108500,1530.9127,148.39456,-43.640133,0.0
108501,1530.9213,148.39522,-43.64082,0.0
108502,1530.9213,148.39589,-43.641502,0.0
108503,1530.9188,148.39655,-43.642185,0.0
108504,1530.9191,148.39722,-43.64287,0.0
108505,1530.9287,148.39789,-43.643555,0.0
108506,1530.9518,148.39854,-43.644238,0.0
108507,1530.9927,148.39922,-43.64492,0.0
108508,1531.0431,148.39987,-43.645603,0.0
108509,1531.0856,148.40054,-43.646286,0.0
108510,1531.1073,148.4012,-43.64697,0.0
108511,1531.0708,148.40186,-43.647655,0.0
108512,1530.9357,148.4025,-43.64835,0.0
108513,1530.658,148.40314,-43.649048,0.0
108514,1530.2079,148.40375,-43.649757,0.0
108515,1529.5903,148.40434,-43.650475,0.0
108516,1528.8811,148.4049,-43.651207,0.0
108517,1528.268,148.40544,-43.651947,0.0
108518,1527.6608,148.40594,-43.6527,0.0
108519,1527.1757,148.40643,-43.65346,0.0
108520,1526.8676,148.40689,-43.65423,0.0
108521,1526.7467,148.40732,-43.655003,0.0
108522,1526.8674,148.40775,-43.65578,0.0
108523,1527.2245,148.40816,-43.656563,0.0
108524,1527.761,148.40857,-43.657352,0.0
108525,1528.389,148.40897,-43.658142,0.0
108526,1529.0337,148.40935,-43.65894,0.0
108527,1529.6183,148.40973,-43.65974,0.0
108528,1530.1033,148.4101,-43.660545,0.0
108529,1530.4442,148.41043,-43.66136,0.0
108530,1530.614,148.41077,-43.66218,0.0
108531,1530.5973,148.41107,-43.663006,0.0
108532,1530.4259,148.41136,-43.66384,0.0
108533,1530.1306,148.41162,-43.664677,0.0
108534,1529.7041,148.41185,-43.665524,0.0
108535,1529.1602,148.41205,-43.666374,0.0
108536,1528.5261,148.41223,-43.66723,0.0
108537,1527.8643,148.41237,-43.668087,0.0
108538,1527.2203,148.41248,-43.66895,0.0
108539,1526.7144,148.41255,-43.66981,0.0
108540,1526.2129,148.41258,-43.67068,0.0
108541,1525.8005,148.4126,-43.671547,0.0
108542,1525.4745,148.41257,-43.672417,0.0
108543,1525.2428,148.41249,-43.673283,0.0
108544,1525.0906,148.4124,-43.67415,0.0
108545,1525.0248,148.41226,-43.675014,0.0
108546,1525.0271,148.41211,-43.675877,0.0
108547,1525.0828,148.41191,-43.676735,0.0
108548,1525.1482,148.41168,-43.67759,0.0
108549,1525.1912,148.41142,-43.67844,0.0
108550,1525.211,148.41113,-43.679287,0.0
108551,1525.2089,148.4108,-43.68013,0.0
108552,1525.1866,148.41045,-43.680965,0.0
108553,1525.1323,148.41006,-43.681793,0.0
108554,1525.0796,148.40965,-43.682617,0.0
108555,1525.0203,148.4092,-43.683434,0.0
108556,1524.9546,148.40872,-43.684242,0.0
108557,1524.8782,148.40822,-43.68504,0.0
108558,1524.8066,148.40768,-43.685833,0.0
108559,1524.7346,148.40712,-43.686615,0.0
108560,1524.6688,148.40652,-43.687386,0.0
108561,1524.6138,148.4059,-43.688145,0.0
108562,1524.5773,148.40524,-43.688892,0.0
108563,1524.5382,148.40457,-43.68963,0.0
108564,1524.4912,148.40387,-43.690353,0.0
108565,1524.438,148.40314,-43.691067,-32767.0
108566,1524.3893,148.40237,-43.691765,0.0
108567,1524.3451,148.40158,-43.692448,0.0
108568,1524.3024,148.40077,-43.693115,0.0
108569,1524.2589,148.39993,-43.693764,0.0
108570,1524.2142,148.39906,-43.6944,0.0
108571,1524.1675,148.39818,-43.69502,0.0
108572,1524.1409,148.39726,-43.69562,0.0
108573,1524.115,148.39632,-43.696205,0.0
108574,1524.084,148.39537,-43.696774,0.0
108575,1524.0603,148.39438,-43.69732,0.0
108576,1524.0461,148.39339,-43.69785,0.0
108577,1524.0555,148.39236,-43.69836,0.0
108578,1524.0896,148.39133,-43.69885,0.0
108579,1524.1344,148.39026,-43.69932,0.0
108580,1524.1859,148.38918,-43.69977,0.0
108581,1524.2356,148.38809,-43.700203,0.0
108582,1524.2764,148.38698,-43.70061,0.0
108583,1524.3054,148.38585,-43.701,0.0
108584,1524.286,148.3847,-43.701366,0.0
108585,1524.2207,148.38356,-43.701714,0.0
108586,1524.1125,148.38239,-43.702034,0.0
108587,1523.9795,148.38121,-43.702335,0.0
108588,1523.8348,148.38,-43.702618,0.0
108589,1523.6962,148.3788,-43.702873,0.0
108590,1523.5941,148.3776,-43.703106,0.0
108591,1523.5387,148.37637,-43.703316,0.0
108592,1523.5248,148.37514,-43.703503,0.0
108593,1523.5243,148.3739,-43.703663,0.0
108594,1523.5422,148.37265,-43.7038,0.0
108595,1523.5818,148.3714,-43.703915,0.0
108596,1523.6428,148.37015,-43.704006,0.0
108597,1523.7235,148.3689,-43.70407,0.0
108598,1523.8323,148.36763,-43.70411,0.0
108599,1523.9703,148.36636,-43.704124,0.0
108600,1524.1248,148.3651,-43.704117,0.0
108601,1524.2925,148.36385,-43.704086,0.0
108602,1524.4183,148.36258,-43.70403,0.0
108603,1524.5275,148.36131,-43.70395,0.0
108604,1524.686,148.36006,-43.703842,0.0
108605,1524.8242,148.3588,-43.703716,0.0
108606,1524.92,148.35756,-43.703564,0.0
108607,1524.963,148.35631,-43.70339,0.0
108608,1524.9509,148.35507,-43.703186,0.0
108609,1524.8843,148.35384,-43.702965,0.0
108610,1524.7542,148.35262,-43.702713,0.0
108611,1524.6116,148.3514,-43.702442,0.0
108612,1524.48,148.35019,-43.702145,0.0
108613,1524.3931,148.349,-43.701828,0.0
108614,1524.3624,148.34782,-43.701485,0.0
108615,1524.3643,148.34665,-43.701115,0.0
108616,1524.384,148.3455,-43.700726,0.0
108617,1524.4252,148.34436,-43.700314,0.0
108618,1524.4779,148.34325,-43.69988,0.0
108619,1524.5553,148.34213,-43.69942,0.0
108620,1524.6354,148.34105,-43.698944,0.0
108621,1524.7145,148.33998,-43.69844,0.0
108622,1524.7782,148.33893,-43.69792,0.0
108623,1524.8265,148.3379,-43.697376,0.0
108624,1524.8728,148.3369,-43.696815,0.0
108625,1524.9109,148.3359,-43.696236,0.0
108626,1524.9419,148.33495,-43.695633,0.0
108627,1524.9285,148.334,-43.695015,0.0
108628,1524.8903,148.33307,-43.694378,0.0
108629,1524.9231,148.33218,-43.69372,0.0
108630,1524.9788,148.33131,-43.69305,0.0
108631,1525.0657,148.33046,-43.692364,0.0
108632,1525.1903,148.32964,-43.69166,0.0
108633,1525.3486,148.32883,-43.69095,0.0
108634,1525.5221,148.32803,-43.690228,0.0
108635,1525.6714,148.32727,-43.689495,0.0
108636,1525.7908,148.3265,-43.68876,0.0
108637,1525.877,148.32574,-43.68802,0.0
108638,1525.9379,148.32501,-43.68727,0.0
108639,1525.9751,148.32426,-43.68652,0.0
108640,1526.0018,148.32355,-43.68577,0.0
108641,1526.0057,148.32281,-43.685013,0.0
108642,1525.9482,148.32208,-43.684258,0.0
108643,1525.8549,148.32137,-43.683502,0.0
108644,1525.8317,148.32063,-43.682743,0.0
108645,1525.8232,148.31992,-43.681984,0.0
108646,1525.8396,148.3192,-43.681225,0.0
108647,1525.8676,148.31848,-43.680466,0.0
108648,1525.9182,148.31775,-43.679703,0.0
108649,1525.9862,148.31703,-43.678944,0.0
108650,1526.0657,148.31631,-43.678185,0.0
108651,1526.1439,148.3156,-43.67742,0.0
108652,1526.2185,148.31488,-43.676662,0.0
108653,1526.2695,148.31416,-43.6759,0.0
108654,1526.299,148.31343,-43.675137,0.0
108655,1526.2996,148.31271,-43.674377,0.0
108656,1526.2589,148.312,-43.673615,0.0
108657,1526.1875,148.31128,-43.67285,0.0
108658,1526.1002,148.31056,-43.67209,0.0
108659,1526.0074,148.30984,-43.67133,0.0
108660,1525.9514,148.30913,-43.670567,0.0
108661,1525.9446,148.30841,-43.669804,0.0
108662,1525.9557,148.30771,-43.669044,0.0
108663,1526.0103,148.30699,-43.66828,0.0
108664,1526.1776,148.30627,-43.66752,0.0
108665,1526.3647,148.30556,-43.66676,0.0
108666,1526.5538,148.30484,-43.666,0.0
108667,1526.7191,148.30412,-43.665237,0.0
108668,1526.8456,148.3034,-43.66448,0.0
108669,1526.9274,148.3027,-43.66372,0.0
108670,1526.9679,148.30199,-43.66296,0.0
108671,1526.9629,148.30127,-43.6622,0.0
108672,1526.9175,148.30055,-43.66144,0.0
108673,1526.8405,148.29984,-43.660686,0.0
108674,1526.7391,148.29912,-43.659927,0.0
108675,1526.6309,148.2984,-43.65917,0.0
108676,1526.5281,148.29768,-43.65841,0.0
108677,1526.4335,148.29697,-43.65765,0.0
108678,1526.3643,148.29625,-43.656895,0.0
108679,1526.3492,148.29552,-43.656136,0.0
108680,1526.4031,148.2948,-43.655376,0.0
108681,1526.5209,148.29408,-43.654617,0.0
108682,1526.648,148.29337,-43.65386,0.0
108683,1526.7614,148.29265,-43.6531,0.0
108684,1526.9253,148.29193,-43.65234,0.0
108685,1527.0547,148.29121,-43.65158,0.0
108686,1527.1199,148.29048,-43.65082,0.0
108687,1527.1151,148.28976,-43.650063,0.0
108688,1527.0715,148.28905,-43.649303,0.0
108689,1527.0084,148.28831,-43.648544,0.0
108690,1526.9502,148.2876,-43.64779,0.0
108691,1526.8911,148.28687,-43.64703,0.0
108692,1526.8344,148.28615,-43.646275,0.0
108693,1526.7662,148.28542,-43.645515,0.0
108694,1526.6769,148.2847,-43.644756,0.0
108695,1526.577,148.28398,-43.644,0.0
108696,1526.4777,148.28325,-43.64324,0.0
108697,1526.3883,148.28253,-43.642487,0.0
108698,1526.2848,148.2818,-43.641727,0.0
108699,1526.1436,148.28108,-43.640972,0.0
108700,1525.9691,148.28036,-43.64021,0.0
108701,1525.7644,148.27966,-43.639442,0.0
108702,1525.4734,148.27898,-43.63867,0.0
108703,1525.1232,148.27832,-43.63789,0.0
108704,1524.8131,148.27766,-43.637096,0.0
108705,1524.5338,148.27705,-43.63629,0.0
108706,1524.3351,148.27647,-43.63548,0.0
108707,1524.2516,148.27591,-43.634655,0.0
108708,1524.3147,148.27539,-43.63382,0.0
108709,1524.5264,148.27489,-43.632977,0.0
108710,1524.8541,148.2744,-43.63213,0.0
108711,1525.2766,148.27394,-43.631275,0.0
108712,1525.7639,148.2735,-43.630417,0.0
108713,1526.28,148.27309,-43.629555,0.0
108714,1526.7966,148.27267,-43.62869,0.0
108715,1527.2911,148.2723,-43.627815,0.0
108716,1527.743,148.27194,-43.626938,0.0
108717,1528.1538,148.2716,-43.626057,0.0
108718,1528.516,148.2713,-43.625168,0.0
108719,1528.8226,148.27103,-43.62428,0.0
108720,1529.0569,148.27078,-43.623383,0.0
108721,1529.23,148.27057,-43.622482,0.0
108722,1529.3018,148.27039,-43.62158,0.0
108723,1529.3054,148.27023,-43.62067,0.0
108724,1529.3419,148.27013,-43.619762,0.0
108725,1529.3976,148.27005,-43.61885,0.0
108726,1529.509,148.27,-43.61794,0.0
108727,1529.6519,148.26999,-43.617027,0.0
108728,1529.8186,148.27002,-43.61612,0.0
108729,1530.0104,148.2701,-43.61521,0.0
108730,1530.2101,148.2702,-43.614304,0.0
108731,1530.3871,148.27034,-43.6134,0.0
108732,1530.5311,148.27051,-43.612503,0.0
108733,1530.6488,148.27072,-43.611607,0.0
108734,1530.7515,148.27095,-43.610718,0.0
108735,1530.8263,148.27124,-43.609837,0.0
108736,1530.8887,148.27155,-43.60896,0.0
108737,1530.9493,148.27188,-43.60809,0.0
108738,1531.0063,148.27226,-43.607227,0.0
108739,1531.0359,148.27267,-43.606377,0.0
108740,1531.0225,148.2731,-43.60553,0.0
108741,1530.9393,148.27357,-43.6047,0.0
108742,1530.791,148.27408,-43.603874,0.0
108743,1530.6074,148.27461,-43.603058,0.0
108744,1530.41,148.27518,-43.602257,0.0
108745,1530.2365,148.27576,-43.601467,0.0
108746,1530.096,148.27638,-43.60069,0.0
108747,1529.9841,148.27702,-43.599922,0.0
108748,1529.9064,148.27771,-43.59917,0.0
108749,1529.8588,148.27841,-43.598434,0.0
108750,1529.8302,148.27913,-43.597713,0.0
108751,1529.8129,148.27989,-43.597004,0.0
108752,1529.7963,148.28067,-43.596313,0.0
108753,1529.7909,148.28146,-43.59564,0.0
108754,1529.8112,148.2823,-43.59498,0.0
108755,1529.8973,148.28314,-43.594334,0.0
108756,1530.0332,148.28403,-43.593708,0.0
108757,1530.1869,148.28491,-43.5931,0.0
108758,1530.3389,148.28583,-43.59251,0.0
108759,1530.4869,148.28677,-43.59194,0.0
108760,1530.6246,148.28772,-43.59139,0.0
108761,1530.78,148.2887,-43.590855,0.0
108762,1530.9446,148.28969,-43.590336,0.0
